Country Name,Indicator Name,Indicator Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Benin,"Population of the official age for secondary education, both sexes (number)",SP.SEC.TOTL.IN,1259150.0,1302133.0,1344500.0,1387553.0,1431035.0,1474537.0,1517836.0,1560487.0,1604307.0,1649565.0,1696451.0
Benin,"Population of the official age for tertiary education, both sexes (number)",SP.TER.TOTL.IN,729503.0,756181.0,781657.0,807880.0,834868.0,862615.0,891063.0,918590.0,946860.0,975638.0,1004924.0
Benin,"Population of the official age for upper secondary education, both sexes (number)",SP.SEC.UTOT.IN,502645.0,520019.0,537411.0,555533.0,574182.0,592893.0,611338.0,628773.0,646425.0,664535.0,683324.0
Benin,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,42.3627,,,,,,52.49247,,,
Burkina Faso,"Adjusted net enrolment rate, upper secondary, both sexes (%)",UIS.NERA.3,,3.29809999465942,3.50346994400024,3.51518988609314,4.18093013763428,2.60921001434326,3.02066993713379,3.06470990180969,4.05404996871948,3.93155002593994,
Burkina Faso,GDP per capita (current US$),NY.GDP.PCAP.CD,406.998807060623,422.633237360208,475.110012184526,569.761278420206,552.745552106433,575.446452687734,666.840410055466,673.822818226635,699.781537016479,703.821656461717,575.314454176312
Burkina Faso,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.43476009368896,4.45137977600098,4.59601020812988,,,3.93681001663208,4.48355007171631,4.05393981933594,4.59568977355957,4.60476016998291,4.06224012374878
Burkina Faso,"Gross enrolment ratio, tertiary, both sexes (%)",SE.TER.ENRR,2.30757999420166,2.44096994400024,2.61181998252869,3.18009996414185,3.53254008293152,3.57862997055054,4.14645004272461,4.5582799911499,4.77590990066528,,
Burkina Faso,"Gross enrolment ratio, upper secondary, both sexes (%)",SE.SEC.ENRR.UP,7.0544900894165,7.32480001449584,8.19775009155273,8.86674976348876,10.003080368042,10.0157203674316,10.41565990448,11.1475200653076,13.84840965271,12.9078102111816,13.4206600189209
Burkina Faso,Internet users (per 100 people),IT.NET.USER.P2,0.469914489,0.632707564,0.75,0.92,1.13,2.4,3.0,3.725034916,9.1,9.4,11.38764617
Burkina Faso,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,9.89393997192383,10.8982801437378,11.7040596008301,14.7324600219727,15.5705404281616,16.4356594085693,18.0736694335938,20.1663703918457,21.4893798828125,24.7465991973877,26.9976406097412
Burkina Faso,"Population of the official age for secondary education, both sexes (number)",SP.SEC.TOTL.IN,2065775.0,2125885.0,2179961.0,2239944.0,2305226.0,2456319.0,2533708.0,2607229.0,2687909.0,2775271.0,2867971.0
